block_id	parent_id	creater	arrival_time
blk_0	None	-1	0.00
blk_1	blk_0	2	12.21
blk_2	blk_1	19	15.12
blk_3	blk_2	24	27.67
blk_4	blk_3	45	36.84
blk_5	blk_4	30	40.14
blk_6	blk_5	42	46.26
blk_7	blk_6	41	46.97
blk_8	blk_7	39	47.93
blk_9	blk_8	41	49.14
blk_10	blk_9	11	49.78
blk_11	blk_10	11	49.90
blk_12	blk_11	20	50.68
blk_13	blk_12	33	51.26
blk_14	blk_13	41	53.24
blk_15	blk_14	14	53.53
blk_16	blk_15	19	55.27
blk_17	blk_16	4	57.49
blk_18	blk_16	14	57.62
blk_19	blk_18	14	58.57
blk_21	blk_19	6	58.82
blk_20	blk_19	21	59.03
blk_24	blk_20	8	59.27
blk_22	blk_19	24	59.29
blk_23	blk_20	21	59.32
blk_25	blk_23	28	59.60
blk_26	blk_25	8	61.58
blk_27	blk_26	40	62.24
blk_28	blk_27	49	63.20
blk_30	blk_27	4	63.49
blk_29	blk_27	44	63.50
blk_31	blk_27	35	63.52
blk_32	blk_28	39	63.59
blk_33	blk_27	47	63.75
blk_35	blk_32	23	64.41
blk_34	blk_32	44	64.51
blk_36	blk_35	29	65.60
blk_37	blk_36	11	66.32
blk_38	blk_37	35	67.05
blk_39	blk_37	18	67.35
blk_40	blk_38	49	67.54
blk_41	blk_40	4	68.60
blk_42	blk_40	21	68.81
blk_44	blk_41	24	69.23
blk_43	blk_41	39	69.26
blk_45	blk_41	17	69.48
blk_46	blk_43	44	69.83
blk_47	blk_43	35	69.89
blk_48	blk_44	24	69.96
blk_49	blk_47	36	70.00
blk_50	blk_46	17	70.13
blk_51	blk_48	24	70.36
blk_53	blk_49	6	71.17
blk_52	blk_49	14	71.52
blk_54	blk_52	34	72.69
blk_55	blk_53	17	72.79
blk_56	blk_54	28	73.51
blk_57	blk_54	11	73.65
blk_58	blk_54	47	73.89
blk_59	blk_56	23	74.43
blk_60	blk_56	30	74.65
blk_61	blk_60	30	74.73
blk_62	blk_59	8	74.92
blk_63	blk_61	36	75.60
blk_67	blk_63	42	75.97
blk_66	blk_63	48	75.98
blk_64	blk_63	21	76.01
blk_65	blk_64	7	76.21
blk_68	blk_63	12	76.55
blk_69	blk_65	18	77.19
blk_71	blk_65	20	77.20
blk_70	blk_65	44	77.32
blk_73	blk_71	7	77.89
blk_72	blk_70	47	77.97
blk_74	blk_73	30	78.33
blk_75	blk_74	41	78.81
blk_76	blk_74	18	79.04
blk_77	blk_75	7	79.67
blk_78	blk_77	21	80.22
blk_79	blk_78	21	81.33
blk_81	blk_78	38	81.38
blk_80	blk_78	34	81.49
blk_82	blk_79	40	81.62
blk_83	blk_79	2	81.87
blk_84	blk_83	30	82.63
blk_85	blk_84	38	83.02
blk_87	blk_85	6	83.55
blk_86	blk_85	28	83.67
blk_88	blk_85	32	83.89
blk_90	blk_87	48	83.98
blk_89	blk_86	28	83.99
blk_91	blk_88	39	84.49
blk_92	blk_89	47	84.68
blk_93	blk_92	24	85.34
blk_94	blk_93	24	85.61
blk_95	blk_94	4	86.30
blk_96	blk_95	4	86.30
blk_97	blk_96	14	86.99
blk_98	blk_96	4	87.37
blk_99	blk_97	19	87.63
blk_101	blk_97	17	87.78
blk_100	blk_99	21	87.84
blk_102	blk_99	1	88.24
blk_104	blk_100	35	88.45
blk_103	blk_99	13	88.45
blk_106	blk_104	6	88.81
blk_105	blk_104	33	88.96
blk_108	blk_104	21	89.19
blk_107	blk_104	39	89.19
blk_109	blk_105	44	89.81
blk_110	blk_107	12	89.89
blk_111	blk_105	7	89.93
blk_112	blk_109	48	89.96
blk_116	blk_112	42	90.90
blk_113	blk_112	44	91.01
blk_114	blk_112	23	91.15
blk_115	blk_112	22	91.25
blk_118	blk_114	2	91.29
blk_117	blk_112	21	91.30
blk_119	blk_113	39	91.36
blk_120	blk_118	2	91.42
blk_122	blk_118	48	91.52
blk_121	blk_120	30	91.56
blk_123	blk_120	23	91.85
blk_124	blk_120	14	91.91
blk_125	blk_121	36	91.95
blk_126	blk_121	33	92.11
blk_129	blk_125	42	92.42
blk_127	blk_125	39	92.47
blk_128	blk_125	44	92.64
blk_130	blk_128	47	92.97
blk_131	blk_130	19	93.60
blk_132	blk_131	2	93.75
blk_133	blk_132	30	94.09
blk_134	blk_133	34	94.49
blk_135	blk_133	24	94.66
blk_136	blk_134	2	94.99
blk_137	blk_135	18	95.16
blk_139	blk_136	42	95.19
blk_138	blk_135	4	95.36
blk_141	blk_136	40	95.45
blk_140	blk_136	2	95.47
blk_142	blk_140	21	95.68
blk_143	blk_142	36	95.99
blk_144	blk_142	34	96.12
blk_145	blk_143	19	96.46
blk_146	blk_143	20	96.49
